ENTE_SEGN,VOCESOTVOC,CLASSE_UTI,SETCON,DATA_OSSER,VALORE,STATUS,UNIT OF MEASUREMENT,SCALE
3691030,35120163,1004,7006,30/6/2004,0.358,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2004,0.375,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2003,0.404,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2003,0.287,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2003,0.319,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2003,0.292,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2002,0.404,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2002,0.298,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2002,0.376,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2002,0.299,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2001,0.377,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2001,0.287,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2001,0.346,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2001,0.335,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2000,0.336,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2000,0.285,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2000,0.335,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2000,0.349,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/1999,0.385,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/1999,0.314,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/1999,0.381,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/1999,0.34,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/1998,0.42,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/1998,0.307,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/1998,0.376,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/1998,0.381,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/1997,0.45,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/1997,0.323,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/1997,0.38,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/1997,0.355,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/1996,0.377,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/1996,0.314,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/1996,0.364,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/1996,0.641,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,30/6/2013,0.26,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,31/3/2013,0.147,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,31/12/2012,0.259,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,30/9/2012,0.127,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,30/6/2012,0.197,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,31/3/2012,0.124,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,31/12/2011,0.206,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,30/9/2011,0.161,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,30/6/2011,0.179,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,31/3/2011,0.13,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,31/12/2010,0.143,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,30/9/2010,0.129,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7009,30/6/2010,0.258,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
